id,qname,heading,text,type,diagram,website,updated
,CapacitySize,CapacitySize,,Class,https://w3id.org/citydata/part1/v1/diagrams/CapacitySize.dot.svg,https://w3id.org/citydata/part1/v1/CapacitySize,2026-07-23T12:14:41.538678
,ExceptionDay,ExceptionDay,"An ExceptionDay specifies a day or days that recursExcept and recursAddition use to specify unique days that do not recur on the same day each year, for example, holidays. ",Class,https://w3id.org/citydata/part1/v1/diagrams/ExceptionDay.dot.svg,https://w3id.org/citydata/part1/v1/ExceptionDay,2026-07-23T12:14:41.538678
,TerminalResourceState,TerminalResourceState,,Class,https://w3id.org/citydata/part1/v1/diagrams/TerminalResourceState.dot.svg,https://w3id.org/citydata/part1/v1/TerminalResourceState,2026-07-23T12:14:41.538678
,CdmThing,CdmThing,"Added for organizational purposes, to identify all classes defined in the City Data Model.",Class,https://w3id.org/citydata/part1/v1/diagrams/CdmThing.dot.svg,https://w3id.org/citydata/part1/v1/CdmThing,2026-07-23T12:14:41.538678
,Acceleration,Acceleration,,Class,https://w3id.org/citydata/part1/v1/diagrams/Acceleration.dot.svg,https://w3id.org/citydata/part1/v1/Acceleration,2026-07-23T12:14:41.538678
,PlannedAllocation,PlannedAllocation,"Specifies the planned allocation of a resource to an activity via a state.
        Note that Allocation is a Manifestation as the allocation may change over time.",Class,https://w3id.org/citydata/part1/v1/diagrams/PlannedAllocation.dot.svg,https://w3id.org/citydata/part1/v1/PlannedAllocation,2026-07-23T12:14:41.538678
,FoundationalCdmThing,FoundationalCdmThing,"Added for organizational purposes, to identify all classes defined in the Foundation-level CDM ontology.",Class,https://w3id.org/citydata/part1/v1/diagrams/FoundationalCdmThing.dot.svg,https://w3id.org/citydata/part1/v1/FoundationalCdmThing,2026-07-23T12:14:41.538678
,CardinalityUnitPerTime,CardinalityUnitPerTime,,Class,https://w3id.org/citydata/part1/v1/diagrams/CardinalityUnitPerTime.dot.svg,https://w3id.org/citydata/part1/v1/CardinalityUnitPerTime,2026-07-23T12:14:41.538678
,ConjunctiveAgreement,ConjunctiveAgreement,A conjunctive agreement is a complex agreement where all sub-agreements must be satisfied for the overall agreement to hold.,Class,https://w3id.org/citydata/part1/v1/diagrams/ConjunctiveAgreement.dot.svg,https://w3id.org/citydata/part1/v1/ConjunctiveAgreement,2026-07-23T12:14:41.538678
,YearlyRecurringEvent,YearlyRecurringEvent,"A YearlyRecurringEvent recurs regularly on the same day of the same month, as specified by the hasMonth and dayOfMonth properties. As with MonthlyRecurringEvent, there may be ambiguity regarding the semantics of a yearly recurring event, however this formalization captures only the notion of an event that recurs on the same day of the same month (e.g. a birthday).",Class,https://w3id.org/citydata/part1/v1/diagrams/YearlyRecurringEvent.dot.svg,https://w3id.org/citydata/part1/v1/YearlyRecurringEvent,2026-07-23T12:14:41.538678
,Length,Length,"Length is the amount of space between two geographical points along a curve. It is a base quantity in the International System of Units and other systems of units. Length is speed times time. The metre, a base unit of length in the International System of Units, is defined in terms of speed of light during a certain time interval.",Class,https://w3id.org/citydata/part1/v1/diagrams/Length.dot.svg,https://w3id.org/citydata/part1/v1/Length,2026-07-23T12:14:41.538678
,NonTerminalState,NonTerminalState,"A NonTerminalState has child States (a.k.a., sub-states) that are either conjuctive or disjunctive. Each child may be a TerminalState or NonTerminalState; eventually a TerminalState is reached. A State cannot be both non-terminal and terminal.",Class,https://w3id.org/citydata/part1/v1/diagrams/NonTerminalState.dot.svg,https://w3id.org/citydata/part1/v1/NonTerminalState,2026-07-23T12:14:41.538678
,TimeUnit,TimeUnit,A specified system of units for time.,Class,https://w3id.org/citydata/part1/v1/diagrams/TimeUnit.dot.svg,https://w3id.org/citydata/part1/v1/TimeUnit,2026-07-23T12:14:41.538678
,State,State,"A State describes some situation in the world which may or may not be satisfied (true) at a given point in time. A State refers to a class of manifestations. It may be a precondition or effect of some Activity, or more generally it may be enabled or be caused by some Activity. If a state is complex, it may refer to some combination of classes of manifestations.
        Example: A shopping activity, Activity-Shop, can require both the VehicleW30LGas state, but also some state wherein the mall is ",Class,https://w3id.org/citydata/part1/v1/diagrams/State.dot.svg,https://w3id.org/citydata/part1/v1/State,2026-07-23T12:14:41.538678
,Duration,Duration,Duration is the amount of time that elapses between two instants or events.,Class,https://w3id.org/citydata/part1/v1/diagrams/Duration.dot.svg,https://w3id.org/citydata/part1/v1/Duration,2026-07-23T12:14:41.538678
,SpatialLocThing,SpatialLocThing,"Added for organizational purposes, to identify all classes defined in the Location pattern of the CDM ontology.",Class,https://w3id.org/citydata/part1/v1/diagrams/SpatialLocThing.dot.svg,https://w3id.org/citydata/part1/v1/SpatialLocThing,2026-07-23T12:14:41.538678
,DisjunctiveState,DisjunctiveState,A type of NonTerminalState that is defined by the disjunction of its child States. A State cannot be both conjunctive and disjunctive. ,Class,https://w3id.org/citydata/part1/v1/diagrams/DisjunctiveState.dot.svg,https://w3id.org/citydata/part1/v1/DisjunctiveState,2026-07-23T12:14:41.538678
,Geo_Position_unit,Geo_Position_unit,Reference systems to indicate geographic position.,Class,https://w3id.org/citydata/part1/v1/diagrams/Geo_Position_unit.dot.svg,https://w3id.org/citydata/part1/v1/Geo_Position_unit,2026-07-23T12:14:41.538678
,ManifestationState,ManifestationState,"A specialization of TerminalState, the ManifestationState specifies a Manifestation class that an individual must satisfy in order for the ManifestationState to be true.",Class,https://w3id.org/citydata/part1/v1/diagrams/ManifestationState.dot.svg,https://w3id.org/citydata/part1/v1/ManifestationState,2026-07-23T12:14:41.538678
,MonthlyRecurringEvent,MonthlyRecurringEvent,"A MonthlyRecurringEvent recurs regularly on the same day of each month, as specified by the dayOfMonth data property. Note that there is often ambiguity regarding the semantics of a monthly recurring event: in this formalization, a MonthlyRecurringEvent is any event that recurs regularly on the same day of each month; other interpretations sometimes consider events that recur on the same day of week, or first or last day, in which case the day of month will vary.",Class,https://w3id.org/citydata/part1/v1/diagrams/MonthlyRecurringEvent.dot.svg,https://w3id.org/citydata/part1/v1/MonthlyRecurringEvent,2026-07-23T12:14:41.538678
,NonDivisibleResource,NonDivisibleResource,A Resource that can only be used for a single Activity at once - even if it isn't fully utilized.,Class,https://w3id.org/citydata/part1/v1/diagrams/NonDivisibleResource.dot.svg,https://w3id.org/citydata/part1/v1/NonDivisibleResource,2026-07-23T12:14:41.538678
,ActivityStatus,ActivityStatus,The status of the Activity.,Class,https://w3id.org/citydata/part1/v1/diagrams/ActivityStatus.dot.svg,https://w3id.org/citydata/part1/v1/ActivityStatus,2026-07-23T12:14:41.538678
,Manifestation,Manifestation,"Manifestations may be interpreted as “snapshots” of an object at some point in time. This enables the representation of changing attributes of an object, without losing information about its past values/relationships. The properties of the class must then be identified as properties that are (and aren't) subject to change, in order to distinguish between the static and dynamic aspects of a particular entity.",Class,https://w3id.org/citydata/part1/v1/diagrams/Manifestation.dot.svg,https://w3id.org/citydata/part1/v1/Manifestation,2026-07-23T12:14:41.538678
,DivisibleResource,DivisibleResource,A Resource that can be divided for use or consumption between multiple Activities.,Class,https://w3id.org/citydata/part1/v1/diagrams/DivisibleResource.dot.svg,https://w3id.org/citydata/part1/v1/DivisibleResource,2026-07-23T12:14:41.538678
,Resource,Resource,"A Resource is a generic representation of some Thing that can be ""used"" in an Activity. 
        A Resource may have some Location, amount or availability, according to the definition of the Manifestation or TimeVaryingEntity. 
        A Resource must be classified as some Resource Type.
        A Resource may participate in some Activity Occurrence. In other words, it links to the Activity that the Resource is being used/consumed/produced/released at the time of the manifestation.
        A spe",Class,https://w3id.org/citydata/part1/v1/diagrams/Resource.dot.svg,https://w3id.org/citydata/part1/v1/Resource,2026-07-23T12:14:41.538678
,CityUnitsThing,CityUnitsThing,Added for organizational purposes to group the classes defined in the City Units portion of the CDM.,Class,https://w3id.org/citydata/part1/v1/diagrams/CityUnitsThing.dot.svg,https://w3id.org/citydata/part1/v1/CityUnitsThing,2026-07-23T12:14:41.538678
,Speed,Speed,Speed is the time rate of motion measured by the distance moved over in unit time.,Class,https://w3id.org/citydata/part1/v1/diagrams/Speed.dot.svg,https://w3id.org/citydata/part1/v1/Speed,2026-07-23T12:14:41.538678
,Organization,Organization,"A collection of people organized together into a community or other social, commercial or political structure. The group has some common purpose or reason for existence which goes beyond the set of people belonging to it. An organization may itself be able to act as an agent.
        In addition to the standard org:Organization pattern, this ontology defines an cdm1:Organization to be a subclass of an cdm1:Agent.",Class,https://w3id.org/citydata/part1/v1/diagrams/Organization.dot.svg,https://w3id.org/citydata/part1/v1/Organization,2026-07-23T12:14:41.538678
,Location,Location,A location.,Class,https://w3id.org/citydata/part1/v1/diagrams/Location.dot.svg,https://w3id.org/citydata/part1/v1/Location,2026-07-23T12:14:41.538678
,ComplexAgreement,ComplexAgreement,A complex agreement is an agreement that is composed of two or more atomic agreements. It is a subclass of Agreement and specifies the “essence” of a complex agreement.  In particular it identifies how atomic agreements are composed to form a complex agreement.,Class,https://w3id.org/citydata/part1/v1/diagrams/ComplexAgreement.dot.svg,https://w3id.org/citydata/part1/v1/ComplexAgreement,2026-07-23T12:14:41.538678
,DisjunctiveAgreement,DisjunctiveAgreement,A disjunctive agreement is a complex agreement where at least one sub-agreement must be satisfied for the overall agreement to hold.,Class,https://w3id.org/citydata/part1/v1/diagrams/DisjunctiveAgreement.dot.svg,https://w3id.org/citydata/part1/v1/DisjunctiveAgreement,2026-07-23T12:14:41.538678
